"No.","Time","Receiver address","Transmitter address","Destination address","Source","Destination","Type/Subtype","Protocol","PHY type","Length","Info"
"1","0.000000","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d1","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d1","Broadcast","Beacon frame","802.11","802.11a","265","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=eduroam"
"2","0.000124","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d2","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d2","Broadcast","Beacon frame","802.11","802.11a","219","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=Cornell-Visitor"
"3","0.017958","9c:1c:12:e0:dd:d0","3c:15:c2:cd:db:ac","","Apple_cd:db:ac (3c:15:c2:cd:db:ac) (TA)","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"4","0.018036","3c:15:c2:cd:db:ac","","","","Apple_cd:db:ac (3c:15:c2:cd:db:ac) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"5","0.018111","9c:1c:12:e0:dd:d0","3c:15:c2:cd:db:ac","b4:14:89:60:c7:c0","10.145.24.159","23.21.128.44","QoS Data","TCP","802.11n","138","63292 > 80 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0 TSval=474602886 TSecr=462153474"
"6","0.018257","9c:1c:12:e0:dd:d0","3c:15:c2:cd:db:ac","9c:1c:12:e0:dd:d0","Apple_cd:db:ac","ArubaNet_e0:dd:d0","QoS Null function (No data)","802.11","802.11a","55","QoS Null function (No data), SN=1211, FN=0, Flags=.......TC"
"7","0.018332","3c:15:c2:cd:db:ac","","","","Apple_cd:db:ac (3c:15:c2:cd:db:ac) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"8","0.018406","9c:1c:12:e0:dd:d0","3c:15:c2:cd:db:ac","","Apple_cd:db:ac (3c:15:c2:cd:db:ac) (TA)","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"9","0.018480","3c:15:c2:cd:db:ac","","","","Apple_cd:db:ac (3c:15:c2:cd:db:ac) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"10","0.018596","9c:1c:12:e0:dd:d0","3c:15:c2:cd:db:ac","b4:14:89:60:c7:c0","10.145.24.159","23.21.128.44","QoS Data","TCP","802.11n","138","[TCP Out-Of-Order] 63292 > 80 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0 TSval=474602886 TSecr=462153474"
"11","0.018670","3c:15:c2:cd:db:ac","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_cd:db:ac (3c:15:c2:cd:db:ac) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"12","0.094133","f4:5c:89:8c:a2:db","","","","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"13","0.094238","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"14","0.094420","f4:5c:89:8c:a2:db","","","","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"15","0.094494","f4:5c:89:8c:a2:db","","","","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"16","0.094568","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"17","0.101474","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d0","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d0","Broadcast","Beacon frame","802.11","802.11a","212","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=RedRover"
"18","0.101817","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d1","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d1","Broadcast","Beacon frame","802.11","802.11a","265","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=eduroam"
"19","0.102152","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d2","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d2","Broadcast","Beacon frame","802.11","802.11a","219","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=Cornell-Visitor"
"20","0.103115","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","Apple_40:66:66","ArubaNet_e0:dd:d1","QoS Null function (No data)","802.11","802.11a","55","QoS Null function (No data), SN=3585, FN=0, Flags=.......TC"
"21","0.103223","b8:e8:56:40:66:66","","","","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"22","0.103810","bc:e8:46:60:26:66","98:1c:02:e0:dd:91","bc:e8:46:60:26:66","b4:14:09:61:c6:c0","bc:e8:46:60:26:66","Null function (No data)","802.11","802.11n","200","Null function (No data), SN=1061, FN=0, Flags=..m...F.."
"23","0.103893","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"24","0.103967","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"25","0.104083","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","200","QoS Data, SN=1061, FN=0, Flags=.pm.R.F.C"
"26","0.104160","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"27","0.104237","9c:1c:12:e0:dd:d0","4c:57:ca:7d:38:b4","9c:1c:12:e0:dd:d0","Apple_7d:38:b4","ArubaNet_e0:dd:d0","Null function (No data)","802.11","802.11a","53","Null function (No data), SN=715, FN=0, Flags=...P...TC"
"28","0.104314","4c:57:ca:7d:38:b4","","","","Apple_7d:38:b4 (4c:57:ca:7d:38:b4) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"29","0.104464","b8:e8:56:60:76:66","9c:9c:16:f0:bd:c1","b8:e8:56:60:76:66","9c:9c:16:f0:bd:c1","Apple_60:76:66","QoS Data","802.11","802.11n","185","QoS Data, SN=1702, FN=0, Flags=op......."
"30","0.104541","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"31","0.104661","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"32","0.104736","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","185","QoS Data, SN=1062, FN=0, Flags=.pm.R.F.C"
"33","0.104812","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"34","0.104930","b8:e8:52:40:64:66","9c:1c:12:e0:dd:d1","b8:e8:52:40:64:66","CiscoInc_60:c7:c0","b8:e8:52:40:64:66","QoS Data","802.11","802.11n","154","QoS Data, SN=40, FN=0, Flags=.p....F.."
"35","0.105008","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","","Apple_40:66:66 (b8:e8:56:40:66:66) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"36","0.105082","b8:e8:56:40:66:66","","","","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
